continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
ASIA,SOUTH ASIA,Afghanistan,36.5,35,7,2.8,0,48.5,68.9,57,4.8,2000,25,470.0,23,20,,,62,65,12,14,44,26,3,6
EUROPE,SOUTHERN EUROPE,Albania,2.9,11,8,0.3,-5,2.8,2.5,8,1.6,12120,60,466.0,69,11,0.1,0.1,77,80,16,19,18,13,14,28
AFRICA,NORTHERN AFRICA,Algeria,42.7,26,4,2.2,0,51.3,64.3,22,3.1,15050,73,572.0,57,50,0.1,0.1,77,78,18,19,29,20,6,17
EUROPE,SOUTHERN EUROPE,Andorra,0.1,8,4,0.4,21,0.1,0.1,3.4,1.1,,88,10025.0,,,,,,,,,14,,14,
AFRICA,MIDDLE AFRICA,Angola,30.4,45,10,3.5,0,45.4,82.2,44,6.2,6060,63,620.0,14,13,1.2,2.6,58,62,13,15,48,38,2,4
NORTHERN AMERICA,CARIBBEAN,Antigua and Barbuda,0.1,15,6,0.9,0,0.1,0.1,8,1.9,22980,25,2564.0,,,,,74,79,17,19,24,18,7,19
SOUTH AMERICA,SOUTH AMERICA,Argentina,44.5,17,8,1,0,49.4,56.4,10.1,2.3,20270,92,114.0,81,78,0.6,0.3,74,80,16,20,25,19,11,18
ASIA,WESTERN ASIA,Armenia,3,13,9,0.4,-8,2.8,2.4,8,1.6,10060,64,664.0,57,28,0.2,0.1,72,78,15,17,20,15,11,23
OCEANIA,OCEANIA,Australia,24.1,13,7,0.6,10,30.1,37.6,3.4,1.7,45780,86,52.0,67,65,0.2,0.1,80,85,20,22,19,17,16,22
EUROPE,WESTERN EUROPE,Austria,8.8,10,9,0,5,9.3,9.7,2.9,1.5,52660,58,657.0,66,63,0.2,0.1,79,84,19,22,14,13,19,31
ASIA,WESTERN ASIA,Azerbaijan,9.9,15,6,0.9,0,10.7,11.1,11,1.9,16650,53,513.0,51,14,0.2,0.1,73,78,13,16,23,17,7,17
NORTHERN AMERICA,CARIBBEAN,Bahamas,0.4,13,6,0.7,3,0.4,0.4,8,1.6,29790,83,4963.0,,,2,1.7,73,79,17,20,20,16,9,21
ASIA,WESTERN ASIA,Bahrain,1.5,14,2,1.1,23,1.9,2.1,6,1.9,42930,89,96054.0,,,0.1,0.1,76,78,15,16,20,13,3,13
ASIA,SOUTH ASIA,Bangladesh,166.4,19,5,1.4,-3,185.6,201.9,28,2.1,4040,37,2143.0,62,54,0.1,0.1,70,73,16,18,29,17,5,16
NORTHERN AMERICA,CARIBBEAN,Barbados,0.3,11,9,0.1,1,0.3,0.3,9,1.6,17830,31,2593.0,59,55,2.2,1.1,73,78,15,17,19,17,15,25
EUROPE,EASTERN EUROPE,Belarus,9.5,11,13,-0.2,0,9.5,9.5,3.2,1.5,18140,78,167.0,63,52,0.5,0.4,69,79,13,18,17,17,15,24
EUROPE,WESTERN EUROPE,Belgium,11.4,10,10,0.1,4,12,12.7,3.3,1.6,47960,98,1375.0,67,66,,,79,84,18,22,17,16,19,27
NORTHERN AMERICA,CENTRAL AMERICA,Belize,0.4,23,5,1.8,4,0.5,0.6,9,2.6,7890,45,510.0,51,49,2,1.8,71,77,13,15,36,21,4,10
AFRICA,WESTERN AFRICA,Benin,11.5,37,9,2.8,0,15.6,23.9,63,5,2260,45,425.0,18,13,0.7,1.3,59,62,13,14,43,34,3,5
ASIA,SOUTH ASIA,Bhutan,0.8,18,6,1.2,1,0.9,1,26,2.1,8850,39,815.0,66,65,,,70,70,17,17,27,16,5,17
SOUTH AMERICA,SOUTH AMERICA,Bolivia,11.3,23,7,1.6,-1,13.3,16.5,37,2.9,7330,69,253.0,67,45,0.4,0.2,67,72,17,19,32,22,7,12
EUROPE,SOUTHERN EUROPE,Bosnia-Herzegovina,3.5,9,10,-0.2,0,3.7,3.1,6,1.3,12880,48,340.0,46,12,,,74,79,15,18,14,13,16,29
AFRICA,SOUTHERN AFRICA,Botswana,2.2,22,10,1.2,3,2.6,3.2,31,2.6,16990,70,564.0,53,51,18.4,27.4,61,65,13,15,32,21,5,11
SOUTH AMERICA,SOUTH AMERICA,Brazil,209.4,14,6,0.8,0,223.9,231,11,1.7,15160,86,262.0,80,78,0.8,0.4,72,79,17,20,22,15,8,23
ASIA,SOUTHEAST ASIA,Brunei,0.4,16,4,1.2,1,0.5,0.5,6,1.9,83760,78,8682.0,,,,,76,79,16,18,23,16,4,22
EUROPE,EASTERN EUROPE,Bulgaria,7,9,16,-0.7,-1,6.6,5.8,6.4,1.6,20500,73,200.0,69,40,0.1,0.1,71,78,14,18,14,14,21,29
AFRICA,WESTERN AFRICA,Burkina Faso,20.3,40,9,3.1,-1,28.9,48.5,57,5.5,1810,29,338.0,32,30,0.6,1,60,61,12,12,47,35,3,4
AFRICA,EASTERN AFRICA,Burundi,11.8,41,11,3,0,17.2,30.4,47,5.5,770,13,987.0,29,23,0.8,1.4,59,62,13,14,46,36,2,4
AFRICA,WESTERN AFRICA,Cabo Verde,0.6,19,5,1.4,-3,0.6,0.6,21,2.2,6570,66,1101.0,61,57,0.5,0.7,71,75,14,16,31,19,4,12
ASIA,SOUTHEAST ASIA,Cambodia,16,23,6,1.7,-2,18.8,22,24,2.6,3760,23,421.0,56,39,0.5,0.6,67,71,13,15,31,22,4,12
AFRICA,MIDDLE AFRICA,Cameroon,25.6,36,10,2.6,0,34.4,51.9,52,4.7,3640,56,414.0,34,21,2.5,4.8,57,60,13,14,43,33,3,5
NORTHERN AMERICA,NORTHERN AMERICA,Canada,37.2,11,8,0.3,11,41,46.9,4.5,1.5,45750,81,85.0,85,,,,80,84,20,22,16,15,17,26
AFRICA,MIDDLE AFRICA,Central African Republic,4.7,36,14,2.2,-10,6.1,8.9,85,4.9,730,41,263.0,15,12,3.3,4.7,50,54,12,13,44,32,4,5
